personId,billingYear,treatmentDate,treatmentCode,treatmentAmount
73401992,201906,201906,100503,3251
72892796,202003,202003,100503,3265
10143738,201907,201907,100703,200.36
74020397,202003,202003,100503,3211
73018333,201905,201905,100503,3076
74335730,201906,201906,100503,3464
73033817,201906,201906,100703,637.1
72980808,201812,201812,100503,3281
73706774,201905,201905,100503,2934
74227902,202003,202003,100503,3334
73079769,201808,201808,100503,2186
73074645,201808,201808,100503,3288
73044820,201906,201906,100703,621.81
73206439,201906,201906,100703,677.43
72893833,202003,202003,100503,2864
73041860,201906,201906,100703,618.15
73073780,201808,201808,100503,3147
72911714,202009,202009,100503,4884
72905779,202006,202006,100503,3672
72955864,201905,201905,100703,696.79
72980808,201808,201808,100503,3281
72911714,201910,201910,100503,4884
72893833,201906,201906,100703,530.56
73041860,201808,201808,100503,3054
73033817,201808,201808,100503,3053
72893833,201907,201907,100703,1161.3
73041860,201905,201905,100703,618.15
74227902,201808,201808,100503,3334
10143738,201803,201803,100703,496.1
73041860,201901,201901,100503,3054
72955864,201804,201804,100703,537.08
73018333,201906,201906,100703,620.17
72892796,202009,202009,100503,3265
72892796,201905,201905,100703,658.62
72905779,201804,201804,100703,540.37
72911714,201905,201905,100703,871.53
73041860,201802,201802,100503,2874
72955864,201810,201810,100503,3235
72980808,201801,201801,100503,3281
73073780,201807,201807,100503,3147
73074645,201810,201810,100503,3288
73401992,201802,201802,100503,3251
72911714,201907,201907,100503,5285
72905779,202008,202008,100503,3672
73074645,201807,201807,100503,3288
74020397,201808,201808,100503,3021
73041860,201907,201907,100503,3054
74227902,201801,201801,100503,3334
72893833,201901,201901,100503,2864
72911714,201802,201802,100503,5285
73079769,201804,201804,100703,392.27
73044820,201802,201802,100503,2880
73079769,201807,201807,100503,2186
72892796,201907,201907,100703,1343.58
73206439,201910,201910,100503,3383
73073780,201804,201804,100703,490.69
73074645,201804,201804,100703,492.07
72980808,201802,201802,100503,3281
73018333,201802,201802,100503,3076
73033817,201802,201802,100503,3043
73206439,201908,201908,100503,3383
74227902,201910,201910,100503,3334
73044820,201808,201808,100503,3059
73041860,201801,201801,100503,2874
73041860,201805,201805,100703,453.77
73044820,201910,201910,100503,3059
73041860,201910,201910,100503,3054
73044820,201801,201801,100503,2880
74020397,201906,201906,100703,563.95
72911714,201805,201805,100703,659.12
74227902,201805,201805,100703,457.8
72893833,201809,201809,100503,2864
10143738,201806,201806,100503,3482
74227902,201907,201907,100503,3334
73706774,201802,201802,100503,2934
72980808,201809,201809,100503,3281
73044820,201805,201805,100703,456.25
74227902,201901,201901,100503,3334
72911714,201901,201901,100503,5285
73706774,201906,201906,100703,577.06
10143738,201801,201801,100503,3482
74020397,201911,201911,100503,3211
72892796,201906,201906,100703,658.62
72955864,201907,201907,100703,910.75
72905779,201907,201907,100503,3672
73033817,201902,201902,100503,3053
73041860,201809,201809,100503,3054
72905779,201906,201906,100703,721.83
72955864,201808,201808,100503,3235
73206439,201805,201805,100703,498.91
74020397,202001,202001,100503,3211
73206439,201802,201802,100503,3383
72892796,201902,201902,100503,3265
72893833,201910,201910,100703,696.46
74335730,201907,201907,100703,1429.4
72892796,201907,201907,100703,658.62
72980808,201903,201903,100501,
72980808,201903,201903,100502,31800
73044820,201912,201912,100703,812.54
72911714,201809,201809,100703,871.53
72893833,201809,201809,100703,530.56
73079769,201802,201802,100703,392.27
73206439,201907,201907,100703,677.43
72980808,201809,201809,100703,645.46
73044820,201907,201907,100703,621.81
73041860,201809,201809,100703,618.15
73706774,201907,201907,100703,577.06
72911714,202008,202008,100503,4884
74020397,201802,201802,100703,398.64
72955864,201803,201803,100703,537.08
72911714,201810,201810,100703,871.53
72892796,201912,201912,100703,850.56
72893833,201912,201912,100703,696.46
74227902,201907,201907,100703,1228.43
73073780,201801,201801,100503,3147
73018333,201801,201801,100703,460.9
73044820,201809,201809,100703,621.81
73033817,201810,201810,100703,637.1
72893833,202007,202007,100501,
73206439,201801,201801,100703,498.91
74020397,201907,201907,100703,1337.98
10143738,201802,201802,100503,3482
72911714,201907,201907,100703,1782.27
72892796,201810,201810,100703,658.62
72905779,201801,201801,100703,540.37
74020397,201801,201801,100703,398.64
73401992,201801,201801,100703,463.79
72980808,201803,201803,100503,3281
73401992,201809,201809,100703,619.4
72955864,201801,201801,100703,537.08
72905779,201911,201911,100503,3672
73033817,201801,201801,100703,466.89
73079769,201803,201803,100703,392.27
72905779,201803,201803,100703,540.37
72905779,201802,201802,100703,540.37
72980808,201810,201810,100703,645.46
73079769,201801,201801,100703,392.27
73706774,201801,201801,100703,429.92
73033817,201803,201803,100703,466.89
72892796,201803,201803,100703,489.28
73706774,201803,201803,100703,429.92
72905779,202002,202002,100503,3672
73044820,201810,201810,100703,621.81
73041860,201810,201810,100703,618.15
72905779,201812,201812,100703,721.83
74227902,201804,201804,100503,3334
73074645,201801,201801,100703,492.07
74227902,201803,201803,100703,457.8
72893833,201803,201803,100703,384.34
10143738,201811,201811,100703,672.64
73074645,201803,201803,100703,492.07
72911714,201804,201804,100503,5285
74020397,201911,201911,100703,755.09
73033817,201811,201811,100703,637.1
74020397,202002,202002,100503,3211
72905779,201811,201811,100703,721.83
73044820,201908,201908,100703,812.54
73041860,201908,201908,100703,807.66
72893833,201811,201811,100703,530.56
72905779,201908,201908,100703,928.31
74227902,202005,202005,100703,786.42
10143738,201810,201810,100703,672.64
72955864,201812,201812,100703,696.79
73073780,201803,201803,100703,490.69
72893833,201804,201804,100503,2864
73018333,201803,201803,100703,460.9
72911714,201803,201803,100503,5285
73018333,201804,201804,100503,3076
73206439,201803,201803,100703,498.91
72905779,202003,202003,100703,928.31
72905779,201901,201901,100503,3672
74335730,201910,201910,100703,908.01
73041860,201803,201803,100703,453.77
72892796,201804,201804,100703,489.28
74020397,201810,201810,100703,563.95
72905779,201810,201810,100703,721.83
73401992,201803,201803,100703,463.79
73706774,201804,201804,100503,2934
73044820,201803,201803,100703,456.25
73706774,201904,201904,100503,2934
72955864,201811,201811,100703,696.79
73401992,201808,201808,100503,3251
72911714,202002,202002,100703,1126.14
73044820,201812,201812,100703,621.81
73041860,201812,201812,100703,618.15
72893833,201904,201904,100503,2864
73206439,201804,201804,100703,498.91
72911714,202006,202006,100703,1126.14
72911714,201812,201812,100703,871.53
72905779,202006,202006,100703,928.31
72892796,201811,201811,100703,658.62
72893833,201801,201801,100703,384.34
72980808,201812,201812,100703,645.46
72892796,201801,201801,100703,489.28
73206439,201905,201905,100503,3383
74227902,202007,202007,100703,1027.98
72980808,201801,201801,100703,482.43
73401992,201802,201802,100703,463.79
72893833,202007,202007,100703,650.68
74020397,201905,201905,100503,3211
74227902,201801,201801,100703,457.8
72892796,202007,202007,100703,1317.54
72955864,201902,201902,100703,696.79
72955864,201802,201802,100703,537.08
72893833,201903,201903,100503,2864
73041860,201901,201901,100703,618.15
72955864,201810,201810,100703,696.79
73041860,201903,201903,100503,3054
74227902,202002,202002,100703,786.42
74020397,201903,201903,100503,3211
73206439,201903,201903,100503,3383
73041860,201801,201801,100703,453.77
74227902,201906,201906,100503,3334
73074645,201810,201810,100703,660.95
72911714,201902,201902,100703,871.53
73044820,201801,201801,100703,456.25
72911714,201910,201910,100703,1126.14
10143738,201902,201902,100703,672.64
74020397,202007,202007,100703,938.5
73044820,201903,201903,100503,3059
74335730,201907,201907,100503,3464
72893833,201901,201901,100703,530.56
72892796,201802,201802,100503,3265
73073780,201807,201807,100703,490.69
73074645,201807,201807,100703,492.07
72911714,201801,201801,100703,659.12
